Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
84       1.58490710e-10   -8.00000000e-01   -7.99999743e-01    2.08439445e-02    1.00000000e+00    0.00000000e+00    2.08439445e-02    2.57307180e-10   -1.00000000e-03    2.08439445e-05
85       1.63863932e-10   -8.00000000e-01   -7.99999745e-01    2.44293198e-02    1.00000000e+00    0.00000000e+00    2.44293198e-02    2.54827796e-10   -1.00000000e-03    2.44293198e-05
86       1.69237153e-10   -8.00000000e-01   -7.99999743e-01    2.76490421e-02    1.00000000e+00    0.00000000e+00    2.76490421e-02    2.57040768e-10   -1.00000000e-03    2.76490421e-05
87       1.74610375e-10   -8.00000000e-01   -7.99999745e-01    3.05404023e-02    1.00000000e+00    0.00000000e+00    3.05404023e-02    2.55067040e-10   -1.00000000e-03    3.05404023e-05
88       1.79983596e-10   -8.00000000e-01   -7.99999743e-01    3.31368885e-02    1.00000000e+00    0.00000000e+00    3.31368885e-02    2.56828847e-10   -1.00000000e-03    3.31368885e-05
89       1.85356817e-10   -8.00000000e-01   -7.99999745e-01    3.54685731e-02    1.00000000e+00    0.00000000e+00    3.54685731e-02    2.55257665e-10   -1.00000000e-03    3.54685731e-05
90       1.90730039e-10   -8.00000000e-01   -7.99999743e-01    3.75624619e-02    1.00000000e+00    0.00000000e+00    3.75624619e-02    2.56660304e-10   -1.00000000e-03    3.75624619e-05
91       1.96103260e-10   -8.00000000e-01   -7.99999745e-01    3.94428063e-02    1.00000000e+00    0.00000000e+00    3.94428063e-02    2.55409586e-10   -1.00000000e-03    3.94428063e-05
92       2.01476481e-10   -8.00000000e-01   -7.99999743e-01    4.11313846e-02    1.00000000e+00    0.00000000e+00    4.11313846e-02    2.56526296e-10   -1.00000000e-03    4.11313846e-05
93       2.06849703e-10   -8.00000000e-01   -7.99999744e-01    4.26477539e-02    1.00000000e+00    0.00000000e+00    4.26477539e-02    2.55530695e-10   -1.00000000e-03    4.26477539e-05
94       2.12222924e-10   -8.00000000e-01   -7.99999744e-01    4.40094770e-02    1.00000000e+00    0.00000000e+00    4.40094770e-02    2.56419779e-10   -1.00000000e-03    4.40094770e-05
95       2.17596146e-10   -8.00000000e-01   -7.99999744e-01    4.52323254e-02    1.00000000e+00    0.00000000e+00    4.52323254e-02    2.55627274e-10   -1.00000000e-03    4.52323254e-05
96       2.27596146e-10   -8.00000000e-01   -7.99999744e-01    4.71900844e-02    1.00000000e+00    0.00000000e+00    4.71900844e-02    2.56353586e-10   -1.00000000e-03    4.71900844e-05
97       2.37596146e-10   -8.00000000e-01   -7.99999744e-01    4.87918872e-02    1.00000000e+00    0.00000000e+00    4.87918872e-02    2.55671876e-10   -1.00000000e-03    4.87918872e-05
98       2.47596146e-10   -8.00000000e-01   -7.99999744e-01    5.01024532e-02    1.00000000e+00    0.00000000e+00    5.01024532e-02    2.56314574e-10   -1.00000000e-03    5.01024532e-05
99       2.57596146e-10   -8.00000000e-01   -7.99999744e-01    5.11747344e-02    1.00000000e+00    0.00000000e+00    5.11747344e-02    2.55711512e-10   -1.00000000e-03    5.11747344e-05
100      2.67596146e-10   -8.00000000e-01   -7.99999744e-01    5.20520554e-02    1.00000000e+00    0.00000000e+00    5.20520554e-02    2.56280233e-10   -1.00000000e-03    5.20520554e-05
101      2.77596146e-10   -8.00000000e-01   -7.99999744e-01    5.27698635e-02    1.00000000e+00    0.00000000e+00    5.27698635e-02    2.55746755e-10   -1.00000000e-03    5.27698635e-05
102      2.87596146e-10   -8.00000000e-01   -7.99999744e-01    5.33571611e-02    1.00000000e+00    0.00000000e+00    5.33571611e-02    2.56250024e-10   -1.00000000e-03    5.33571611e-05
103      2.97596146e-10   -8.00000000e-01   -7.99999744e-01    5.38376772e-02    1.00000000e+00    0.00000000e+00    5.38376772e-02    2.55778111e-10   -1.00000000e-03    5.38376772e-05
104      3.07596146e-10   -8.00000000e-01   -7.99999744e-01    5.42308268e-02    1.00000000e+00    0.00000000e+00    5.42308268e-02    2.56223471e-10   -1.00000000e-03    5.42308268e-05
105      3.17596146e-10   -8.00000000e-01   -7.99999744e-01    5.45524947e-02    1.00000000e+00    0.00000000e+00    5.45524947e-02    2.55806028e-10   -1.00000000e-03    5.45524947e-05
106      3.27596146e-10   -8.00000000e-01   -7.99999744e-01    5.48156775e-02    1.00000000e+00    0.00000000e+00    5.48156775e-02    2.56200153e-10   -1.00000000e-03    5.48156775e-05
107      3.37596146e-10   -8.00000000e-01   -7.99999744e-01    5.50310088e-02    1.00000000e+00    0.00000000e+00    5.50310088e-02    2.55830903e-10   -1.00000000e-03    5.50310088e-05
108      3.47596146e-10   -8.00000000e-01   -7.99999744e-01    5.52071890e-02    1.00000000e+00    0.00000000e+00    5.52071890e-02    2.56179696e-10   -1.00000000e-03    5.52071890e-05
